classement scratch;dossard;nom prenom;club;sexe;categorie;pays;classement par categorie;classement par sexe;temps;nb de point;
1;4171;CESCHI FRANCESCO;SCARPA KARPOS SWISS TRAIL YOUTH TEAM;H;Elite;SUI;1;1;01:11:44;0;
2;4623;BONJOUR ALLAN;;H;Elite;SUI;2;2;01:12:48;0;
3;4541;JACOT-DESCOMBES GIL;;H;Elite;SUI;3;3;01:13:11;0;
4;4205;ANGELOT PIERRE;;H;Elite;FRA;4;4;01:13:29;0;
5;4576;VAUTHIER MATTHIAS;CHAMONIX MONT-BLANC MARATHON;H;Elite;SUI;5;5;01:16:48;0;
6;4545;MATTER JEREMY;;H;Senior 1;FRA;1;6;01:17:33;0;
7;4249;CALLE CADAVID LORENZO;LE ROSEY;H;Junior;COL;1;7;01:19:19;0;
8;4514;PELLATON NOÉ;SC LA BRÉVINE;H;Elite;SUI;6;8;01:19:44;0;
9;4618;CABEKE QUENTIN;;H;Elite;BEL;7;9;01:21:07;0;
10;4384;VAUCHER KEVIN;COURRIER DU VAL-DE-TRAVERS;H;Elite;SUI;8;10;01:22:27;0;
11;4477;LOYON EMILIEN;PAYS DE MAICHE TRAIL;H;Senior 1;FRA;2;11;01:22:35;0;
12;4096;DEISS MORRIS;;H;Elite;SUI;9;12;01:22:40;0;
13;4505;GEISER THIBAUT;;H;Elite;SUI;10;13;01:22:51;0;
14;4370;FERSTL TOM;;H;Elite;GER;11;14;01:23:13;0;
15;4452;TISSOT CHRIS;;H;Senior 1;SUI;3;15;01:24:32;0;
16;4533;RECCHIA FRANCESCO;;H;Elite;ITA;12;16;01:25:35;0;
17;4628;PELLATON FABRICE;;H;Senior 2;SUI;1;17;01:27:04;0;
18;4466;KILCHOER MARLON;AK894;H;Elite;FRA;13;18;01:28:05;0;
19;4625;MOTTIER VALENTIN;;H;Elite;SUI;14;19;01:28:08;0;
20;4277;DE MARZO AMÉLIE;;F;Elite;SUI;1;1;01:28:23;0;
21;4389;HIDALGO ALVARO;;H;Elite;ESP;15;20;01:28:28;0;
22;4563;DÉLEZ ARNAUD;;H;Elite;SUI;16;21;01:29:36;0;
23;4487;DE ALMEIDA RICARDO;;H;Senior 1;SUI;4;22;01:30:03;0;
24;4486;SCIBOZ FABIAN;;H;Senior 1;SUI;5;23;01:30:09;0;
25;4495;JACQUAT MARINE;;F;Elite;SUI;2;2;01:30:15;0;
26;4562;MEMBREZ EMMANUELLE;KIWICOACHING;F;Senior 1;SUI;1;3;01:30:51;0;
27;4257;PERREY LEYONMARCK AURELIEN;LE ROSEY;H;Senior 1;FRA;6;24;01:31:03;0;
28;4306;DELACROIX LISA;GRAND BESANÇON TRAIL ACADÉMIE;F;Junior;FRA;1;4;01:31:38;0;
29;4582;PERSOUD FINGAL;;H;Elite;FRA;17;25;01:32:11;0;
30;4609;THEURILLAT CHRISTIAN;;H;Senior 2;SUI;2;26;01:32:29;0;
31;4253;LECLERC DE HAUTECLOQUE GALLEY NEAU OCTAVE;LE ROSEY;H;Junior;FRA;2;27;01:32:35;0;
32;4260;JORNOD NICOLAS;;H;Elite;SUI;18;28;01:32:39;0;
33;4292;REYMOND JULIAN;;H;Senior 1;SUI;7;29;01:32:46;0;
34;4472;NEUHAUS BAPTISTE;;H;Junior;SUI;3;30;01:33:03;0;
35;4596;BARBEN NILS;;H;Junior;SUI;4;31;01:33:20;0;
36;4269;GUILLAUME-GENTIL SAMUEL;;H;Elite;SUI;19;32;01:33:24;0;
37;4199;CHANAL IVAN;VAUCHER MANUFACTURE;H;Elite;FRA;20;33;01:33:48;0;
38;4527;ANTONINI LÉON;;H;Junior;SUI;5;34;01:33:52;0;
39;4624;BOUJOUR MARIE;;F;Elite;SUI;3;5;01:33:53;0;
40;4307;DELACROIX GABIN;GRAND BESANCON TRAIL ACADÉMIE;H;Cadet;FRA;1;35;01:34:02;0;
41;4241;ZEHNDER THIBAULT;;H;Junior;SUI;6;36;01:34:27;0;
42;4143;GLAUSER FABIEN;USY ATHLÉTISME;H;Cadet;SUI;2;37;01:34:55;0;
43;4626;BERNASCONI LORAIN;;H;Elite;FRA;21;38;01:34:59;0;
44;4039;POCHON JEAN-MARC;;H;Senior 1;SUI;8;39;01:35:05;0;
45;4430;COSANDIER MATHIEU;;H;Elite;SUI;22;40;01:35:31;0;
46;4537;BARROU ALEXIS;;H;Elite;FRA;23;41;01:36:40;0;
47;4088;COMETTI ADRIEN;;H;Elite;SUI;24;42;01:38:02;0;
48;4631;BLUM ROMAIN;;H;Elite;SUI;25;43;01:38:05;0;
49;4108;BERGERE MARIETTE;;F;Elite;FRA;4;6;01:39:06;0;
50;4614;DATTIN ARTHUR;;H;Elite;FRA;26;44;01:39:07;0;
51;4067;MERABET ABDESLEM;OLYMPIQUE BAILLY NOISY LE ROI;H;Elite;FRA;27;45;01:39:24;0;
52;4097;DEISS YANIK;;H;Elite;SUI;28;46;01:39:27;0;
53;4398;HUMBERT-DROZ WILLIAM;;H;Junior;SUI;7;47;01:39:27;0;
54;4429;VOUILLAMOZ VLAD;;H;Senior 1;SUI;9;48;01:39:30;0;
55;4470;BLASER JÉRÉMIE;;H;Senior 1;SUI;10;49;01:39:33;0;
56;4476;WEIBLE EMILIE;CEP CORTAILLOD RUNNING;F;Elite;SUI;5;7;01:39:37;0;
57;4209;ROCHAT URBAIN;JESUS IS KING;H;Elite;SUI;29;50;01:40:11;0;
58;4373;GUYON BAPTISTE;MOUTHE;H;Elite;FRA;30;51;01:40:32;0;
59;4261;AEBISCHER HUBERT;;H;Senior 2;SUI;3;52;01:40:45;0;
60;4516;LEBET SERGE;;H;Senior 2;SUI;4;53;01:40:45;0;
61;4588;THIÉBAUD NOÉ;;H;Elite;SUI;31;54;01:41:03;0;
62;4620;ROGGO LAURA;;F;Elite;SUI;6;8;01:41:05;0;
63;4482;GIRARDIN FLORENT;;H;Senior 1;SUI;11;55;01:41:12;0;
64;4572;FAVRE YOANN;INALPE DYNAFIT 2.0;H;Elite;SUI;32;56;01:42:08;0;
65;4489;HABILA RADOUAN;;H;Senior 1;MAR;12;57;01:42:18;0;
66;4414;PYTHON JORDAN;JEUNESSE DU HAUT VALLON;H;Elite;SUI;33;58;01:42:32;0;
67;4061;PERRIN JENNIFER;;F;Elite;SUI;7;9;01:42:39;0;
68;4334;COMMENT PATRICK;;H;Elite;SUI;34;59;01:42:55;0;
69;4393;PREVITALI AMÉLIE;VTT BALCON DU JURA;F;Elite;SUI;8;10;01:42:59;0;
70;4392;SOLTANE KHALED;;H;Elite;FRA;35;60;01:42:59;0;
71;4084;WENGER DIMITRI;;H;Elite;SUI;36;61;01:43:08;0;
72;4558;GREMAUD SARAH;;F;Elite;SUI;9;11;01:43:32;0;
73;4251;GODLEY BENEDICT;LE ROSEY;H;Junior;GBR;8;62;01:43:36;0;
74;4473;MONNIER CINDY;;F;Elite;SUI;10;12;01:43:42;0;
75;4490;GUMY PATRICE;CEP CORTAILLOD;H;Senior 2;SUI;5;63;01:43:49;0;
76;4153;HIRSCHY ARTHUR;;H;Junior;SUI;9;64;01:43:52;0;
77;4172;ISCHER PHILIPPE;;H;Senior 2;SUI;6;65;01:43:53;0;
78;4063;MONTALTO KÉVIN;;H;Elite;FRA;37;66;01:43:58;0;
79;4062;MONTALTO RÉMY;;H;Elite;FRA;38;67;01:43:58;0;
80;4262;BURGAT ISALYNE;;F;Senior 1;SUI;2;13;01:43:59;0;
81;4412;HEURTEL THIBAUD;;H;Elite;SUI;39;68;01:44:10;0;
82;4530;TÜLLER BERNARD;;H;Senior 2;SUI;7;69;01:44:14;0;
83;4409;ARIZA DANIEL;TRAIL RUNNING ZARAGOZA;H;Elite;ESP;40;70;01:44:15;0;
84;4408;ARIZA MIGUEL;TRAIL RUNNING ZARAGOZA;H;Elite;ESP;41;71;01:44:15;0;
85;4180;BADOUX HENRI;;H;Elite;SUI;42;72;01:44:26;0;
86;4182;NICOLET MATHIAS;FSG COUVET;H;Junior;SUI;10;73;01:44:29;0;
87;4266;JOLY MURIEL;GSFM;F;Elite;SUI;11;14;01:44:32;0;
88;4164;GILLIOZ EVELYNE;SCARPA KARPOS SWISS TRAIL YOUTH TEAM;F;Junior;SUI;2;15;01:44:36;0;
89;4303;BROCH JONAS;;H;Elite;SUI;43;74;01:45:03;0;
90;4447;DECHAMBENOIT JUSTINE;DSA BESANCON;F;Elite;FRA;12;16;01:45:10;0;
91;4379;PIGUET KARIM;;H;Senior 1;SUI;13;75;01:45:39;0;
92;4353;PELLET JONATHAN;LA CÔTE RUNNERS;H;Elite;SUI;44;76;01:46:13;0;
93;4574;ANDREA DERETTI;;H;Elite;ITA;45;77;01:46:41;0;
94;4378;ISLER DAVID;;H;Elite;SUI;46;78;01:46:56;0;
95;4597;JAQUET AURÉLIE;ANCO;F;Senior 1;SUI;3;17;01:47:00;0;
96;4332;GIBEY NATHALIE;CAC39;F;Senior 2;FRA;1;18;01:47:02;0;
97;4555;COURTET SÉBASTIEN;;H;Senior 1;SUI;14;79;01:47:09;0;
98;4605;GREGORIO JEAN-PAUL;;H;Senior 1;SUI;15;80;01:47:11;0;
99;4339;CHANEAUX JEROME;TAG HEUER;H;Senior 1;FRA;16;81;01:47:21;0;
100;4349;LIPP CLEMENTINE;;F;Elite;SUI;13;19;01:47:24;0;
101;4634;LAUXERROIS MANON;;F;Elite;SUI;14;20;01:47:25;0;
102;4206;CHOFFET YANNICK;;H;Elite;SUI;47;82;01:47:59;0;
103;4565;WEIBLE LOUISE;;F;Elite;SUI;15;21;01:48:15;0;
104;4331;BOUJON BRUNO;CAC39;H;Veteran;FRA;1;83;01:48:26;0;
105;4424;GILARDI FRÉDÉRIC;;H;Senior 1;SUI;17;84;01:48:38;0;
106;4461;LAGLER LIONEL;;H;Senior 1;SUI;18;85;01:48:50;0;
107;4394;ZIEGLER ALAIN;AUTO POSTALE BERNE;H;Veteran;SUI;2;86;01:48:53;0;
108;4587;SLETTENHAAR JAN;RTS;H;Veteran;SUI;3;87;01:48:58;0;
109;4095;DEISS MISCHA;;H;Senior 2;SUI;8;88;01:49:24;0;
110;4173;SEYDOUX CLAIRE;MIAUSPORT;F;Elite;SUI;16;22;01:49:27;0;
111;4174;SEYDOUX SOPHIE;MIAUSPORT;F;Elite;SUI;17;23;01:49:27;0;
112;4104;HOSOTTE CAMILLE;;F;Elite;SUI;18;24;01:49:29;0;
113;4423;VUILLEUMIER TIM;;H;Junior;SUI;11;89;01:49:47;0;
114;4127;MEYER CHRISTELLE;CLUB À TRAVERS CUGY;F;Elite;SUI;19;25;01:49:55;0;
115;4304;POURCHET STEPHANE;;H;Elite;FRA;48;90;01:49:59;0;
116;4586;BARATA ARMÉNIO;;H;Senior 1;SUI;19;91;01:50:01;0;
117;4029;MESSERLI BASTIEN;JEUNESSE DU HAUT VALLON;H;Elite;SUI;49;92;01:50:13;0;
118;4280;SIGRIST SASKIA;;F;Senior 1;SUI;4;26;01:50:17;0;
119;4467;DESAULES THOMAS;CEP;H;Junior;SUI;12;93;01:50:21;0;
120;4198;BAPST MALIKA;LEMONS;F;Elite;SUI;20;27;01:51:12;0;
121;4568;MALET CAMILLE;;F;Elite;SUI;21;28;01:51:28;0;
