classement scratch;dossard;nom prenom;club;sexe;categorie;pays;classement par categorie;classement par sexe;temps;nb de point;
1;3309;HELOURY YVES;TEAM ODLO X ALPI;H;Elite;FRA;1;1;02:28:36;0;
2;3623;FERRARI AUBIN;;H;Elite;FRA;2;2;02:31:13;0;
3;3658;RAMSER TANGUY;;H;Elite;SUI;3;3;02:32:38;0;
4;3685;JACOPIN ALEXANDRE;POWER RUNNERS;H;Elite;FRA;4;4;02:34:16;0;
5;3299;JURICIC MIKAEL;;H;Elite;FRA;5;5;02:38:03;0;
6;3314;BURES MAEL;;H;Elite;FRA;6;6;02:39:30;0;
7;3537;DERIAZ SAMSON;BOL D'AIR;H;Elite;FRA;7;7;02:45:47;0;
8;3565;KURMANN BEAT;CEP CORTAILLOD RUNNING;H;Senior 1;SUI;1;8;02:45:54;0;
9;3263;TUDO MARC;;H;Elite;ESP;8;9;02:48:05;0;
10;3477;BELSOEUR CAMILLE;NEUCHAVENTURE;H;Elite;FRA;9;10;02:49:10;0;
11;3058;SKALOUD JAN;;H;Elite;SUI;10;11;02:49:13;0;
12;3631;PAROZ GUILLAUME;;H;Elite;SUI;11;12;02:52:26;0;
13;3573;SPENSLEY FRANK;;H;Senior 1;GBR;2;13;02:52:53;0;
14;3642;SCHILZ PATRICK;IQ ATHLETIK;H;Elite;GER;12;14;02:53:13;0;
15;3706;EHRSTRÖM SABINE;CIMALP;F;Elite;SUI;1;1;02:53:26;0;
16;3230;STOUFFS ALEXIS;;H;Elite;BEL;13;15;02:53:34;0;
17;5013;PETIT WILLIAM;ASICS FRONTRUNNER;H;Senior 1;FRA;3;16;02:56:18;0;
18;3594;LECLERC BAPTISTE;INTENSITY WORKOUT;H;Elite;FRA;14;17;02:57:22;0;
19;3653;VARRIN CÉLIEN;;H;Elite;SUI;15;18;02:58:04;0;
20;3640;CURTI LOUIS;NOVIO FIRE TEAM;H;Elite;SUI;16;19;02:58:40;0;
21;3290;MEYER GEOFFREY;TECHFIRM;H;Elite;FRA;17;20;02:59:09;0;
22;3723;QUINTANA ELKIN;AÍRE LIBRE Y AVENIDA;H;Senior 1;COL;4;21;03:00:00;0;
23;3671;DESMURS LAURE;CIMALP;F;Senior 1;FRA;1;2;03:00:18;0;
